Street,Address,rent_cold,additional_cost,free_from,distance,gadgets,female_roommates,male_roommates,divers_roommates,room_description,location_description,flat_live,additional,smoker,accessible,kind_of_flat,Url,type,district,size,price,link
Arthur-Hoffmann-Str.,04277 Leipzig Connewitz,300,125,01.07.2023,,"Waschmaschine,Balkon,Gartenmitbenutzung",0,0,0.0," Ich suche einen umgänglichen Mitbewohner/in Ü30 (Nichtraucher) für ein ca.19 qm großen Raum. Das Zimmer ist zur Arthur-Hoffmann-Str. (auslaufende einspurige Hauptstraße, kein Schienenverkehr) ausgerichtet. Das Bad ist mit Fenster und Badewanne ausgestattet, die Küche mit kleinem Balkon mit Blick ins Grüne. Ich bin eine ruhige Mitbewohnerin, naturverbunden, mag schwarzen Humor, übe einen handwerklichen Beruf aus, strebe einen minimalistischen Lebensstil an und nehme keinBlatt vor den Mund. Meine Beweggründe sind pragmatisch (Kostensenkung) sowie der Umstand, dass ich nur ungern alleine wohne. Sollte sich zwischen uns eine Freundschaft entwickeln...schön, wenn nicht, dann sollten wir trotzdem einen respektvollen und rücksichtsvollen Umgang pflegen und uns einig sein, was die Grundregeln des Zusammenlebens und Sauberkeit angeht. Mehr oder weniger Gemeinschaftsleben, ich bin für beide Wohnmodelle offen.",,,,,0,"Zweck-WG, Studenten-WG, Frauen-WG, keine Zweck-WG, gemischte WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Connewitz.10147397.html,2er WG,Connewitz,    19,425 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Connewitz.10147397.html
Paulinenstr. 9,04315 Leipzig Volkmarsdorf,699,250,01.07.2023,1,"Waschmaschine,Spülmaschine,Gartenmitbenutzung,Fahrradkeller",,,," Guten Tag, 
 ich biete eine komplette 2 ZKB Wohnung an, eine schöne  
 2 Raumwohnung mit Bad inkl. neuwertiger Waschmaschine (AEG) und Küche inkl.Spüle, Geschirrspüler (Bosch), Kühlschrank (Privileg) und Herd (Privileg). 
 Die Wohnung befindet sich in einem sanierten Altbau.  
 Das Haus liegt in einer ruhigen Seitenstrasse (Paulinenstraße) mit zwei Straßenbahnhaltestellen in unmittelbarer Nähe (ca. 150 m, direkte Verbindung zum HBF und zur Uni).  
 Citynah, beste Straßenbahnverbindung 
 Linie 7, 8. 
 Die S-Bahn ist in wenigen Minuten zu Fuß erreichen.Die Wohnung liegt im 2.OG und ist möbliert, sehr hell und ruhig. 
 Der Grundriss ist quadratisch praktisch. Beide Zimmer, Küche und Bad (mit Badwanne) verfügen über große Kunststoff-Fenster und Zentralheizung.  
 Kaltmiete:  699 €
 Nebenkostenvorauszahlung:  250 €  
 Gesamtmiete:949 € 
 Bei den Nebenkosten handelt es sich um eine Vorauszahlung. 
 Es gibt jedes Jahr eine Abrechnung. Bei normalem Verbrauch kann man mit 250 €/ Monat rechnen. Ist der tatsächliche Verbrauch geringer als die Nebenkostenvorauszahlung, bekommt der Mieter die Ersparnis wieder rückerstattet. 
 Dies wird im Mietvertrag auch vereinbart. 
 Insgesamt eine schöne Wohnung in gutem Zustand. 
 Die Miete bezieht sich auf die gesamte Wohnung. 
 Es fallen keine Maklerprovisionen an. 
 Sehr interessantes und beliebtes Viertel bei Studenten und jungen Leuten. Es entstehen auch immer mehr Cafes, Kneipen, internationale Gastronomie, Clubs und Partys. 
 Nähere Informationen unter
 i speak english, je parle francais",,,,,0,,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Volkmarsdorf.6142991.html,2-Zimmer-Wohnung  ,Volkmarsdorf,    58,949 ,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Volkmarsdorf.6142991.html
Geißlerstraße 18,04315 Leipzig Volkmarsdorf,350,50,11.07.2023,1,"Waschmaschine,Spülmaschine,Balkon,Garten,Gartenmitbenutzung,Keller,Fahrradkeller,Haustiereerlaubt",2,1,0.0," Hallo du, 
 vom 10.07.23 bis zum 11.08.23 werden bei uns in der WG durch Urlaub zwei Zimmer frei (Anzeige des anderen Zimmers: https://www.wg-gesucht.de/10178782.html?ma=1) , die in dieser Zeit sehr gern von einem lieben Menschen genutzt werden können. Wir haben für beide Zimmer seperat eine WG-Gesucht-Anzeige geschrieben, sie könnten aber natürlich auch gemeinsam an eine Person/ ein Paar/ eine kleine Familie vermietet werden. 
 Zuerst ein kurzes Wort zu unserer Wohnung: Es gibt insgesamt 5 Zimmer, 
 eine geräumige Küche mit genügend Platz für einen großen Tisch, ein Sofa und Gemütlichkeit und es gibt praktischerweise zwei Bäder (auch jeweils mit Dusche/ Wanne und Toilette). 
 Das eine der zwei zu vermietenden Zimmer ist 22 m² groß und kostet für den Monat 400 € mit allem (Strom, Internet, …). Das Zimmer ist Marlon und Annas Wohn- und Arbeitszimmer und enthält eine gemütliche Couch welche sehr gut zum Schlafen genutzt werden kann (140x200cm), zwei Schreibtische, einen Schrank, etc. ;-) Wir würden Dir Platz im Schrank machen, sodass Du auch Klamotten o.Ä. auch gut verstauen kannst.  
 An das geräumige Zimmer schließt ein 8 m² großer Balkon an, den Du dann auch sehr gerne Nutzen kannst."," Das Haus liegt in Volkmarsdorf im hübschen Bülowviertel. In der nahen Umgebung gibt es viele Cafés und Bars. Zudem gibt es einen regen und freundschaftlichen Austausch mit den anderen vier Wohnungen/ WGs im Haus (wir sind insgesamt nur fünf Parteien) und dem Nachbarhaus. Außerdem gibt es einen Innenhof, den wir gemeinschaftlich gestalten (inkl. Hochbeete für jede Wohnung). Du kannst dich also sehr gern beim Säen, Rasenmähen, Kompostieren und Zurückschneiden von Pflanzen beteiligen.","Da Marlon und Anna ihre beiden Zimmer zwecks Urlaub vermieten, wirst du den Monat über mit Sophie, Tilmann und Irene gemeinsam wohnen. Falls das zweite Zimmer auch vermietet wird, dann gegebenenfalls auch noch mit einer fünften Person. 
 Alle drei sind berufstätig bzw. studieren und haben dadurch einen einigermaßen geregelten Arbeitsalltag. Daher entspricht unsere Vorstellung des Zusammenlebens wohl nicht mehr einer wilden Student*innen-WG mit Party an jedem Wochenende, sondern einem gemütlichen und familiären Miteinander. Außerdem schätzen wir alle unsere saubere und gepflegte Wohnung :) 
 Irene (33) kommt aus Costa Rica, hat in Frankreich ihren Doktor in Biologie gemacht und arbeitet am iDiv(Deutsches Zentrum für integrative Biodiversitätsforschung). Sie liebt klettern, bouldern, Zeichnen, Yoga und kulturelle Veranstaltungen. Irene lernt aktuell Deutsch, in der WG sprechen wir mit ihr aber hauptsächlich Englisch.
 Sophie (28) studiert im Master Psychotherapie, beschäftigt sich aber mindestens genausoviel mit ihren Freizeitbeschäftigungen. Ihre Woche ist gefüllt mit Bratschenspiel, Chorproben und Konzerten, Klettern und Bouldern. Zum Feierabend geht sie gern mal etwas trinken und nimmt dich liebend gern mit.
 Tilmann (34) arbeitet beim UBA (Umweltbundesamt) im KI-Lab (Künstliche Intelligenz und Big Data) und kann dir (fast ;-) ) alle deine Fragen rund um Physik erklären. Er liebt Gesellschaftsspiele, Flohmärkte, gemeinsames Philosophieren und Klettern. 
 Insgesamt wird in unserer WG ein gemeinschaftliches und familiäres Wohnen gelebt, bei dem nach Möglichkeit gemeinsam gegessen, füreinander gekocht, Spieleabende oder auch mal gemeinsame Ausflüge gemacht werden. Du musst dich natürlich nicht verpflichtet fühlen, da mitzumachen, bist aber sicherlich herzlich willkommen :)
 Wichtig für dich zu wissen: In der WG werden alle Lebensmittel geteilt, wir beziehen eine Gemüsekiste bei der KoLa Leipzig (wäre im Mietpreis mit drin) und legen Wert auf eine vegetarische/ vegane und nachhaltige Lebensweise. Dafür versuchen wir, möglichst regional und bio einzukaufen. Mit gelegentlichem Fleischkonsum haben wir kein Problem, wenn es sich nicht gerade um die Billigwurst vom Aldi handelt 😉.
 Wenn jedoch geteilte Lebensmittel für Dich nicht in Frage kommen, können wir es einricht, dass Du ein Fach im Kühlschrank bekommst und im Vorratsregal. Sprich uns am besten einfach darauf an, wie es dir am liebsten ist und was Du dir am besten vorstellen kannst. 
 Wir wünschen uns eine umsichtige Person, die auch einen verantwortungsvollen Blick für die Reproduktionsarbeit im Haushalt hat (Einkaufen und Verbrauchen von Lebensmitteln, Altglas wegbringen, …) und rücksichtsvoll mit allen und allem agiert. Es wäre also toll, wenn dein Lebensmotto nicht lautet „na die anderen werden sich schon drum kümmern“ 😉."," Schreib doch gern ein paar kurze Zeilen über dich, damit wir uns ein Bild von dir machen können. 
 Liebe Grüße, 
 Irene, Marlon, Sophie, Tilmann und Anna 
 PS: Da in unserem Zimmer / Balkon doch ein paar Pflanzen leben, wäre es schön, wenn Du dich in diesem Monat auch um das regelmäßige Gießen kümmern würdest.",0.0,0,"Studenten-WG, keine Zweck-WG, gemischte WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Volkmarsdorf.10183922.html,4er WG,Volkmarsdorf,    22,400 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Volkmarsdorf.10183922.html
Paulinenstr. 9,04315 Leipzig Volkmarsdorf,749,250,01.10.2023,1,"Waschmaschine,Spülmaschine,Gartenmitbenutzung",,,," Guten Tag, 
 ich biete eine komplett neu renovierte 2 ZKB Altbauwohnung an,  
 eine schöne 2 Raumwohnung mit Bad (inkl. neuer Bosch Waschmaschine) und Küche (inkl.Edelstahl-Spültisch, neuem Bosch Kühlschrank,  Herd und  neuer Bosch Geschirrspülmaschine). 
 Die Wohnung befindet sich in einem sanierten Altbau.  
 Das Haus liegt in der Paulinenstraße, einer ruhigen Seitenstrasse mit zwei Straßenbahnhaltestellen in unmittelbarer Nähe (ca. 150 m Entfernung, direkte Verbindung zum HBF und zur Uni).  
 Citynah, ca. 3 km zur City & Uni, beste Straßenbahnverbindung Linie 7, 8. 
 Die S-Bahn Station Leipzig-Sellerhausen ist in wenigen Minuten zu Fuß erreichen. 
 Die Fahrtzeit zum Hbf Leipzig beträgt 4 Minuten. 
 Die Wohnung liegt im Hochparterre,  ist hell und ruhig.  
 Der Grundriss ist quadratisch praktisch, beide Zimmer sind in etwa gleich groß.  
 Beide Zimmer , Küche und Bad (mit Badwanne und Duschkabine) verfügen über große Isolier-Fenster und Zentralheizung. Die Wohnung ist komplett neu saniert. 
 Kaltmiete: 749 €  
 Nebenkostenvorauszahlung:  250 €  
 Gesamtmiete:999 € 
 Bei den Nebenkosten handelt es sich um eine Vorauszahlung. 
 Es gibt jedes Jahr eine Abrechnung. Bei normalem Verbrauch kann man mit 250 €/ Monat rechnen.  
 Ist der tatsächliche Verbrauch geringer als die Nebenkostenvorauszahlung, bekommt der Mieter die Ersparnis wieder rückerstattet. 
 Dies wird im Mietvertrag auch vereinbart.  
 Insgesamt eine schöne Wohnung in gutem Zustand. 
 Die Miete bezieht sich auf die gesamte Wohnung. 
 Es fallen keine Maklerprovisionen an. 
 Sehr interessantes und beliebtes Viertel bei Studenten und jungen Leuten.  
 Im Haus wohnen bereits einige Studenten. 
 Es entstehen auch immer mehr Cafes, Kneipen, internationale Gastronomie, Clubs und Partys. 
 Erstanfragen bitte per Email. 
 I speak english, je parle un peu français."," Sehr interessantes und beliebtes Viertel bei Studenten und jungen Leuten. Es entstehen auch immer mehr Cafes, Kneipen, internationale Gastronomie, Clubs und Partys.",,,,0,,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Volkmarsdorf.3260928.html,2-Zimmer-Wohnung  ,Volkmarsdorf,    54,999 ,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Volkmarsdorf.3260928.html
Geißlerstraße 18,04315 Leipzig Volkmarsdorf,250,50,11.07.2023,1,"Waschmaschine,Spülmaschine,Balkon,Garten,Gartenmitbenutzung,Keller,Fahrradkeller,Haustiereerlaubt",2,1,0.0," Hallo du, 
 vom 10.07.23 bis zum 11.08.23 werden bei uns in der WG durch Urlaub zwei Zimmer frei (Anzeige des anderen Zimmers: https://www.wg-gesucht.de/10183922.html?ma=1) , die in dieser Zeit sehr gern von einem lieben Menschen genutzt werden können. Wir haben für beide Zimmer seperat eine WG-Gesucht-Anzeige geschrieben, sie könnten aber natürlich auch gemeinsam an eine Person/ ein Paar/ eine kleine Familie vermietet werden. 
 Zuerst ein kurzes Wort zu unserer Wohnung: Es gibt insgesamt 5 Zimmer, 
 eine geräumige Küche mit genügend Platz für einen großen Tisch, ein Sofa und Gemütlichkeit und es gibt praktischerweise zwei Bäder (auch jeweils mit Dusche/ Wanne und Toilette). 
 Das eine der zwei zu vermietenden Zimmer ist 13 m² groß und kostet für den Monat 300 € mit allem (Strom, Internet, …). Das Zimmer ist Marlon und Annas Schlafzimmer und besteht daher vorwiegend aus Bett (140x200cm), Kommode und Schrank ;-) Im Kleiderschrank würden wir Dir natürlich Platz machen, dass Du auch deine Klamotten verstauen kannst.  
 Die etwas kuschelige Größe wird durch unseren großzügigen Gemeinschaftsraum mitsamt überdachtem Balkon wett gemacht :-)"," Das Haus liegt in Volkmarsdorf im hübschen Bülowviertel. In der nahen Umgebung gibt es viele Cafés und Bars. Zudem gibt es einen regen und freundschaftlichen Austausch mit den anderen vier Wohnungen/ WGs im Haus (wir sind insgesamt nur fünf Parteien) und dem Nachbarhaus. Außerdem gibt es einen Innenhof, den wir gemeinschaftlich gestalten (inkl. Hochbeete für jede Wohnung). Du kannst dich also sehr gern beim Säen, Rasenmähen, Kompostieren und Zurückschneiden von Pflanzen beteiligen.","Da Marlon und Anna ihre beiden Zimmer zwecks Urlaub vermieten, wirst du den Monat über mit Sophie, Tilmann und Irene gemeinsam wohnen. Falls das zweite Zimmer auch vermietet wird, dann gegebenenfalls auch noch mit einer fünften Person. 
 Alle drei sind berufstätig bzw. studieren und haben dadurch einen einigermaßen geregelten Arbeitsalltag. Daher entspricht unsere Vorstellung des Zusammenlebens wohl nicht mehr einer wilden Student*innen-WG mit Party an jedem Wochenende, sondern einem gemütlichen und familiären Miteinander. Außerdem schätzen wir alle unsere saubere und gepflegte Wohnung :) 
 Irene (33) kommt aus Costa Rica, hat in Frankreich ihren Doktor in Biologie gemacht und arbeitet am iDiv (Deutsches Zentrum für integrative Biodiversitätsforschung). Sie liebtklettern, bouldern, Zeichnen, Yoga und kulturelle Veranstaltungen. Irene lernt aktuell Deutsch, in der WG sprechen wir mit ihr aber hauptsächlich Englisch.
 Sophie (28) studiert im Master Psychotherapie, beschäftigt sich aber mindestens genausoviel mit ihren Freizeitbeschäftigungen. Ihre Woche ist gefüllt mit Bratschenspiel, Chorproben und Konzerten, Klettern und Bouldern. Zum Feierabend geht sie gern mal etwas trinken und nimmt dich liebend gern mit.
 Tilmann (34) arbeitet beim UBA (Umweltbundesamt) im KI-Lab (Künstliche Intelligenz und Big Data) und kann dir (fast ;-) ) alle deine Fragen rund um Physik erklären. Er liebt Gesellschaftsspiele, Flohmärkte, gemeinsames Philosophieren und Klettern. 
 Insgesamt wird in unserer WG ein gemeinschaftliches und familiäres Wohnen gelebt, bei dem nach Möglichkeit gemeinsam gegessen, füreinander gekocht, Spieleabende oder auch mal gemeinsame Ausflüge gemacht werden. Du musst dich natürlich nicht verpflichtet fühlen, da mitzumachen, bist aber sicherlich herzlich willkommen :)
 Wichtig für dich zu wissen: In der WG werden alle Lebensmittel geteilt, wir beziehen eine Gemüsekiste bei der KoLa Leipzig (wäre im Mietpreis mit drin) und legen Wert auf eine vegetarische/ vegane und nachhaltige Lebensweise. Dafür versuchen wir, möglichst regional und bio einzukaufen. Mit gelegentlichem Fleischkonsum haben wir kein Problem, wenn es sich nicht gerade um die Billigwurst vom Aldi handelt 😉.
 Wenn jedoch geteilte Lebensmittel für Dich nicht in Frage kommen, können wir es einricht, dass Du ein Fach im Kühlschrank bekommst und im Vorratsregal. Sprich uns am besten einfach darauf an, wie es dir am liebsten ist und was Du dir am besten vorstellen kannst. 
 Wir wünschen uns eine umsichtige Person, die auch einen verantwortungsvollen Blick für die Reproduktionsarbeit im Haushalt hat (Einkaufen und Verbrauchen von Lebensmitteln, Altglas wegbringen, …) und rücksichtsvoll mit allen und allem agiert. Es wäre also toll, wenn dein Lebensmotto nicht lautet „na die anderen werden sich schon drum kümmern“ 😉."," Schreib doch gern ein paar kurze Zeilen über dich, damit wir uns ein Bild von dir machen können. 
 Liebe Grüße, 
 Irene, Marlon, Sophie, Tilmann und Anna 
