Street,Address,rent_cold,additional_cost,free_from,distance,gadgets,female_roommates,male_roommates,divers_roommates,room_description,location_description,flat_live,additional,smoker,accessible,kind_of_flat,Url,type,district,size,price,link
Ludwigstraße,04315 Leipzig Volkmarsdorf,380,0,01.09.2023,3,"Waschmaschine,Balkon,Keller",1,1,0," Hallo liebe Suchenden!Ich vermiete mein sonniges Zimmer für die Zeit meines Erasmusaufenthalts unter. Es ist ca. 17 qm groß, möbliert und geht nach Süden raus, ist also das ganze Jahr über schön hell.Die Ein- und Auszugsdaten sind flexibel, als Orientierung ab 01.09.2023 bis mindestens Februar/März 2024 (Eventuell könnte bis inklusive Juni verlängert werden).  Mir ist wichtig, dass du dich wohl fühlst wenn du in meinem Zimmer wohnst, daher schon mal vor weg, dass sich über Details und Anliegen immer reden lässt und ich bin offen, dir entgegenzukommen.Die Warmmiete beträgt 380 €. Plus GEZ und Internet beträgt die Miete insgesamt 395 €"," Die Lage ist wunderbar!Die Eisi als Parallelstraße bietet mit ihren Bars, Cafés, etc. lebendiges Treiben, während die Ludwigstraße schön ruhig ist.Mit den Rad brauch man 10 Minuten zur Uni am Augustusplatz und die Bahnlinien 3, 8 (3 Minuten Weg) sowie 1 & 7 (5-7 Minuten) sind allezu Fuß zu erreichen.Einkaufsmöglichkeiten, Spätis sind direkt um die Ecke und auch der Mariannenpark ist nicht weit.","In der WG wohnen Kaja udn Niklas. Am besten lernst du sie selbst kennen, aber für den ersten Eindruck: Kaja (26) studiert Sonderpädagogik, ist sportlich aktiv, kocht ausgezeichnet, ist fröhlich und unternehmungslustig. Niklas (28) promoviert, arbeitet zusätzlich im Gewandhaus , findet aber trotzdem immerwieder Zeit für ein schönes Zusammentreffen und hat einen besonderen Sinn fürs genießen. Wir kochen ab und zu gemeinsam oder treffennjsn korgens beim frühstücken, sind aber grds. alle selbstständig unterwegs. Wichtig ist in jedem Fall ein offener, kommunikativer und herzlicher Umgang miteinander! Wie gesagt, am besten lernt ihr euch kennen!"," Wenn du Interesse hast, schreib einfach einen kleinen Text zu dir (am besten über die App) und wir melden uns dann!Falls du Fragen hast, die nicht beantwortet wurden stell sie gerne!Sonnige Grüße und bis bald!",1.0,0,"Studenten-WG, keine Zweck-WG, gemischte WG, Internationals welcome",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Volkmarsdorf.10180882.html,3er WG,Volkmarsdorf,    17,380 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Volkmarsdorf.10180882.html
Karl-Liebknecht-Str. 17,04107 Leipzig Zentrum-Süd,350,50,09.08.2023,1,"Waschmaschine,Gartenmitbenutzung",0,1,0," Hallo liebe Interessenten, 
 angeboten wird ein möbliertes Zimmer in bester Lage in der Südvorstadt in Leipzig vom 11.08.2023-14.01.2023. 
 Aufgrund meines Auslandsaufenthalts in Frankreich wird das Zimmer untervermietet. 
 Das Zimmer bietet mit 22 qm viel Raum für einen Start ins Studium in Leipzig, falls ihr noch auf der Suche nach einer langfristigen Bleibe seid. 
 Das Zimmer wird möbliert vermietet, ihr müsst praktisch nur Schlafsachen (Bettbezug, Bettdecke und Kissen) mitbringen. 
 Im Zimmer befindet sich ein Kleiderschrank zum verstauen von Kleidung etc. Zudem gibt es einige Zimmerpflanzen, welche sich einmal pro Woche über etwas Wasser freuen :)"," Die Wohnung liegt in sehr zentraler Lage auf der Karl-Liebknecht-Str. (Karli) und ist 1 min von der Straßenbahn entfernt (diese hält praktisch vor Eurer Tür).  Lebensmittel: Fußläufig sind in 2 
 Minuten ein kleiner Einkaufsladen (Konsum) und in 10 min zwei größere Einkaufsmöglichkeiten erreichbar. 
 Restaurantsund Läden: Zudem ist innerhalb von 2 Minuten eine Dönerbude, ein Burger King, Asia Restaurants und ein Waffel Restaurant erreichbar. Es gibt zudem zahlreiche Cafés, Bars","Dein Mitbewohner für den Zeitraum von 5 Monaten ist ein freundlicher Mediengestalter namens Elias. 
 Er ist Raucher und hat einen Hund, welche die meiste Zeit in seinem Zimmer verbringt. 
